seed,run_id,run_dir,val_best_f1@0.5,test_f1@0.5,test_acc@0.5,test_fp@0.5,test_fn@0.5,slang_tn@0.5,slang_fp@0.5,slang_accuracy@0.5
1,seed-1,models/detect/latest/lr_e2e/seed-1,0.7987117552334944,0.7637795275590551,0.7889800703399765,151,29,29,21,0.58
2,seed-2,models/detect/latest/lr_e2e/seed-2,0.7697368421052632,0.7668539325842697,0.8053927315357562,119,47,39,11,0.78
3,seed-3,models/detect/latest/lr_e2e/seed-3,0.773972602739726,0.7799113737075333,0.8253223915592028,93,56,38,12,0.76
4,seed-4,models/detect/latest/lr_e2e/seed-4,0.701062215477997,0.6779220779220779,0.7092614302461899,189,59,25,25,0.5
5,seed-5,models/detect/latest/lr_e2e/seed-5,0.5709401709401709,0.5267727930535456,0.6166471277842908,189,138,40,10,0.8
6,seed-6,models/detect/latest/lr_e2e/seed-6,0.6666666666666666,0.6756425948592412,0.6893317702227433,221,44,25,25,0.5
7,seed-7,models/detect/latest/lr_e2e/seed-7,0.7562189054726368,0.7601683029453016,0.7995310668229777,122,49,37,13,0.74
8,seed-8,models/detect/latest/lr_e2e/seed-8,0.74884437596302,0.7752956636005256,0.7995310668229777,146,25,24,26,0.48
9,seed-9,models/detect/latest/lr_e2e/seed-9,0.7658227848101266,0.7643835616438356,0.798358733880422,131,41,23,27,0.46
10,seed-10,models/detect/latest/lr_e2e/seed-10,0.7890222984562607,0.8017366136034733,0.839390386869871,94,43,35,15,0.7
11,seed-11,models/detect/latest/lr_e2e/seed-11,0.7800312012480499,0.773841961852861,0.8053927315357562,130,36,28,22,0.56
12,seed-12,models/detect/latest/lr_e2e/seed-12,0.6502890173410405,0.6601705237515225,0.6729191090269636,230,49,24,26,0.48
13,seed-13,models/detect/latest/lr_e2e/seed-13,0.7487179487179487,0.7584,0.8229777256740914,68,83,36,14,0.72
14,seed-14,models/detect/latest/lr_e2e/seed-14,0.8039867109634552,0.7590027700831025,0.7960140679953107,128,46,34,16,0.68
15,seed-15,models/detect/latest/lr_e2e/seed-15,0.7964912280701755,0.8082595870206489,0.8475967174677609,84,46,33,17,0.66
16,seed-16,models/detect/latest/lr_e2e/seed-16,0.794435857805255,0.76657824933687,0.7936694021101993,145,31,32,18,0.64
17,seed-17,models/detect/latest/lr_e2e/seed-17,0.7788461538461539,0.7620357634112792,0.7971864009378663,130,43,26,24,0.52
18,seed-18,models/detect/latest/lr_e2e/seed-18,0.7205882352941176,0.7054455445544554,0.7209847596717468,203,35,25,25,0.5
19,seed-19,models/detect/latest/lr_e2e/seed-19,0.7705192629815746,0.7670454545454546,0.8077373974208675,114,50,30,20,0.6
20,seed-20,models/detect/latest/lr_e2e/seed-20,0.44680851063829785,0.4230769230769231,0.6834701055099648,49,221,47,3,0.94
